depth	latitude	longitude
22.6	43.415	11.926
22	43.992	13.014
8.8	37.779	15.095
130.2	38.283	14.801
10.2	43.289	12.516
10	46.146	11.162
9.5	42.727	12.727
8.4	43.316	12.538
5.7	43.326	12.521
2.7	43.402	12.425
8.9	43.302	12.5
10.1	43.306	12.542
130.9	38.393	15.605
4.4	43.386	12.462
10.8	42.772	13.097
99.3	38.789	15.67
10.6	44.124	11.02
10.1	43.306	12.38
8.6	43.303	12.542
9.6	38.182	15.57
10.2	37.07	15.02
10.4	43.14	12.989
9.7	43.036	12.553
9.7	42.753	13.111
5.7	43.337	12.537
4.5	43.41	12.511
9.8	41.429	14.639
9.7	43.437	12.498
12.9	44.126	10.488
11.4	44.135	10.506
7.6	46.028	10.582
35.2	44.403	10.673
6.7	42.69	13.284
7.8	43.334	12.543
11	44.424	7.044
8.2	46.135	11.178
10	42.636	13.143
1.3	43.435	12.992
9.7	43.324	12.601
13.9	44.491	6.694
7.5	43.309	12.533
31.2	37.834	14.488
10.6	43.633	12.245
1.7	43.391	12.577
8	43.011	12.812
6.5	43.425	12.528
5.9	43.951	11.724
9.3	40.236	15.664
9	43.373	12.566
10	42.503	13.361
15.6	43.164	13.273
9.8	38.184	15.562
14.6	37.146	15.195
7.4	43.306	12.554
8	43.011	12.642
8.4	43.466	12.5
5.5	43.404	12.461
104.3	38.822	15.706
18.9	40.594	15.611
9.8	40.602	15.606
9.5	44.178	10.251
8.7	39.176	16.45
9	43.282	12.462
10.1	43.175	12.829
10.7	42.972	13.136
9.2	43.366	12.58
10	42.839	13.549
338	39.657	15.148
8.8	44.842	6.767
8.3	43.495	12.424
8.7	43.348	12.519
7.2	40.142	15.678
6.3	39.16	18.825
1.6	43.366	12.489
3.6	44.217	10.244
10.2	43.44	12.518
7.3	43.345	12.526
12.8	43.42	12.511
8.7	43.303	12.533
9.7	38.476	14.716
17.9	40.663	15.513
6.7	43.02	12.694
6.6	45.424	11.363
6.1	43.444	12.483
10	40.635	15.841
10.7	43.396	12.434
8.5	43.303	12.544
10	37.312	15.589
10	44.507	6.712
10.1	44.186	10.239
9.3	42.93	13.105
8.3	42.81	12.962
9.2	44.186	10.244
4.5	43.434	12.425
9.9	42.715	13.098
10	38.562	14.84
9.6	38.535	14.83
8.7	42.78	12.529
9.1	42.824	13.16
7.4	42.821	12.48
10	45.491	7.311
2.6	40.8	14.13
6.7	43.459	12.477
7.5	43.459	12.482
7	43.454	12.485
10.3	40.096	15.856
2.8	46.167	10.704
6.8	43.363	12.601
10	41.791	15.576
9.8	39.904	16.105
9.1	43.359	12.603
10.6	43.314	12.528
7.9	43.642	7.751
7.3	43.354	12.608
9.9	42.768	13.389
18.3	42.765	13.394
8	43.57	12.362
10.9	43.141	12.704
10	45.949	7.411
5	43.398	12.508
10.8	42.926	12.954
17.7	42.504	13.289
10	38.565	14.838
342.3	38.882	14.737
6.5	43.132	11.149
9.8	38.8	16.337
42.7	38.121	16.189
10	42.666	13.024
3.4	42.696	11.966
8.7	43.212	12.315
8.5	40.104	15.839
11.1	44.313	10.202
8.6	42.822	13.025
6.7	43.48	12.45
8.9	43.028	12.571
8.5	43.3	12.55
10.2	39.316	16.381
10.2	42.92	13.055
8.9	43.441	12.492
8.1	43.408	12.417
3.9	46.038	14.202
50.9	37.454	14.111
5.8	43.398	12.582
6.3	44.689	6.892
7.6	43.365	12.613
9.2	43.026	12.565
12.6	42.952	13.057
10.6	46.203	7.245
10.2	42.919	13.055
10.3	42.918	13.058
14.4	42.514	13.294
10.4	42.919	13.058
16	43.308	12.491
13	44.15	10.702
9.7	42.923	13.065
9.3	42.924	13.065
10.1	42.923	13.067
8.5	43.44	12.488
7.6	43.498	12.415
19.8	43.198	13.427
9.7	42.754	13.191
13.2	42.522	13.282
10.8	42.771	13.091
7.5	43.494	12.41
10.1	43.323	12.532
10	42.839	12.956
8.9	41.756	13.556
13.5	42.601	13.269
11	42.162	13.618
1.4	43.108	11.007
7.6	43.432	12.99
14.2	42.579	13.307
7.9	43.016	12.687
10	38.569	14.658
14.4	42.475	13.28
10.9	42.772	13.108
22.7	43.755	13.082
9.1	43.304	12.536
8.3	43.361	12.605
10.2	43.244	12.771
13.3	39.386	16.448
10.9	42.521	12.819
11.1	44.524	6.707
4.3	44.109	8.121
8.2	43.298	12.549
7.2	43.348	12.523
21.2	43.196	13.454
8.9	37.531	15.249
12.8	44.338	7.286
12.4	44.343	7.292
9.8	43.2	13.478
10.8	42.893	12.86
10	44.585	6.802
6.6	44.284	7.448
17	42.161	13.61
10	38.54	14.822
10.2	43.198	13.454
15	38.49	14.81
10.8	38.553	14.834
10.3	42.898	12.868
7.4	43.448	12.504
10.1	39.159	16.486
44.1	38.243	16.075
10.9	42.772	13.094
11.1	44.575	7.21
9.6	43.193	13.398
10.8	44.524	6.769
8.2	43.294	12.652
8.9	43.32	12.536
9.9	43.154	12.774
10.6	44.494	9.762
9.8	43.199	13.483
11	43.194	13.41
10.8	42.773	13.112
10.6	39.851	16.138
7.7	42.955	12.87
10	38.546	14.83
8.8	42.394	13.002
10.7	42.687	12.986
10.5	42.772	13.105
10.2	42.776	13.11
9.8	42.776	13.113
22.5	40.118	15.644
10.4	44.275	10.607
6.1	43.363	12.613
6.4	43.025	12.698
16	42.478	13.332
9.6	44.514	6.984
9.6	43.387	12.62
10	42.691	13.025
10.6	42.689	12.982
125.2	38.275	15.273
10.5	43.479	12.766
10.9	43.579	12.693
7.5	43.287	12.528
15.1	42.527	13.102
15.4	42.492	13.083
7.2	44.211	10.109
12.4	42.487	13.07
8	43.443	12.474
8.1	43.456	12.486
24.1	41.835	14.249
10.6	44.225	10.578
8.8	43.314	12.541
10.7	39.465	16.42
8.4	42.812	12.61
6.4	46.365	12.942
5.8	43.364	12.608
7.7	43.812	10.314
11.8	42.885	13.167
7.5	43.008	12.681
9.3	43.306	12.546
26.7	43.13	13.531
9.5	42.808	13.134
10.1	38.483	16.074
133.8	38.466	15.524
13.4	42.651	13.192
54.3	39.223	15.975
6.1	46.487	12.638
8.4	43.345	12.532
25	42.533	13.579
13.5	41.684	13.915
10.7	41.613	13.316
8.9	43.035	12.693
7.8	43.323	12.536
6.9	43.025	12.685
9.9	42.842	13.134
4.3	43.397	12.56
11.1	42.853	12.959
9.6	41.696	13.907
7.8	43.368	12.61
10.8	43.43	12.698
12.4	42.608	13.118
10	42.854	13.197
9.4	41.855	14.265
8.5	42.637	13.23
9.3	42.634	13.333
22.5	38.187	14.865
6.8	43.309	12.533
9.9	43.306	12.548
8.5	43.308	12.546
7.8	43.908	11.829
8.5	43.45	12.508
7.2	43.311	12.541
6.3	43.309	12.529
7.8	43.302	12.54
11.2	46.418	10.572
10.2	43.228	12.599
11.7	46.418	10.583
12.1	46.416	10.57
16.4	40.527	15.894
9.9	43.018	12.793
19.4	38.988	16.429
22.7	43.226	13.273
10.7	43.459	12.572
10.5	43.46	12.571
17.1	43.097	13.521
10.1	43.309	12.54
5.3	43.364	12.612
23.9	43.225	13.269
6.4	43.311	12.534
8.1	43.31	12.544
10.7	42.619	13.07
10.3	43.224	12.668
10.1	43.314	12.685
9	43.343	12.539
3.4	43.58	12.56
9.3	43.306	12.533
118.6	38.739	15.397
9.1	42.562	13.311
6.9	43.424	12.551
11	43.259	12.865
10	37.304	14.367
11	39.282	16.681
10.9	42.983	13.07
10.8	43.192	13.061
9.6	43.455	12.378
11	42.44	13.349
7.8	43.456	12.389
9	43.427	12.544
8.4	43.504	12.365
20.2	41.703	14.952
9.2	43.422	12.547
9.5	43.422	12.544
14	44.127	10.694
22.8	37.064	14.446
97.2	38.761	15.686
8.7	41.766	13.566
8.9	43.422	12.548
10.9	43.165	12.771
15.9	44.099	10.704
9.4	44.151	10.701
10.1	44.152	10.682
7.2	43.507	12.421
10.4	43.308	11.257
12.7	44.148	10.702
13.4	44.121	10.681
14.1	44.126	10.681
10.3	44.133	10.675
10.9	42.896	12.981
9.1	44.169	10.71
11.9	44.132	10.698
9.1	44.152	10.697
13.4	44.122	10.699
12.7	44.146	10.697
10.5	42.902	13.008
10	42.704	12.506
10.9	42.919	13.004
9.1	43.436	12.522
10	46.4	10.561
10	42.542	13.266
9.8	39.858	16.222
7.1	43.403	13.004
8.4	39.891	15.999
8.4	43.302	12.544
34.3	42.228	13.88
7.9	43.658	12.238
4.1	43.586	12.534
10.7	37.191	15.195
10	44.476	12.294
10.9	42.995	12.943
4.7	43.596	12.559
9.1	42.229	13.198
8.7	43.308	12.537
10.1	38.14	15.154
7.4	39.884	16.011
7.8	43.305	12.539
9.8	43.305	12.539
10.1	43.476	12.606
7.6	43.434	12.472
13.8	43.46	12.758
7.8	43.307	12.545
9.9	43.477	12.612
9.3	43.304	12.551
7.2	43.367	12.602
12.1	42.838	13.222
7.1	40.644	15.449
21	43.067	13.48
