# latitude	longitude	depth =
43.415	11.926	22.6
43.992	13.014	22
37.779	15.095	8.8
38.283	14.801	130.2
43.289	12.516	10.2
46.146	11.162	10
42.727	12.727	9.5
43.316	12.538	8.4
43.326	12.521	5.7
43.402	12.425	2.7
43.302	12.5	8.9
43.306	12.542	10.1
38.393	15.605	130.9
43.386	12.462	4.4
42.772	13.097	10.8
38.789	15.67	99.3
44.124	11.02	10.6
43.306	12.38	10.1
43.303	12.542	8.6
38.182	15.57	9.6
37.07	15.02	10.2
43.14	12.989	10.4
43.036	12.553	9.7
42.753	13.111	9.7
43.337	12.537	5.7
43.41	12.511	4.5
41.429	14.639	9.8
43.437	12.498	9.7
44.126	10.488	12.9
44.135	10.506	11.4
46.028	10.582	7.6
44.403	10.673	35.2
42.69	13.284	6.7
43.334	12.543	7.8
44.424	7.044	11
46.135	11.178	8.2
42.636	13.143	10
43.435	12.992	1.3
43.324	12.601	9.7
44.491	6.694	13.9
43.309	12.533	7.5
37.834	14.488	31.2
43.633	12.245	10.6
43.391	12.577	1.7
43.011	12.812	8
43.425	12.528	6.5
43.951	11.724	5.9
40.236	15.664	9.3
43.373	12.566	9
42.503	13.361	10
43.164	13.273	15.6
38.184	15.562	9.8
37.146	15.195	14.6
43.306	12.554	7.4
43.011	12.642	8
43.466	12.5	8.4
43.404	12.461	5.5
38.822	15.706	104.3
40.594	15.611	18.9
40.602	15.606	9.8
44.178	10.251	9.5
39.176	16.45	8.7
43.282	12.462	9
43.175	12.829	10.1
42.972	13.136	10.7
43.366	12.58	9.2
42.839	13.549	10
39.657	15.148	338
44.842	6.767	8.8
43.495	12.424	8.3
43.348	12.519	8.7
40.142	15.678	7.2
39.16	18.825	6.3
43.366	12.489	1.6
44.217	10.244	3.6
43.44	12.518	10.2
43.345	12.526	7.3
43.42	12.511	12.8
43.303	12.533	8.7
38.476	14.716	9.7
40.663	15.513	17.9
43.02	12.694	6.7
45.424	11.363	6.6
43.444	12.483	6.1
40.635	15.841	10
43.396	12.434	10.7
43.303	12.544	8.5
37.312	15.589	10
44.507	6.712	10
44.186	10.239	10.1
42.93	13.105	9.3
42.81	12.962	8.3
44.186	10.244	9.2
43.434	12.425	4.5
42.715	13.098	9.9
38.562	14.84	10
38.535	14.83	9.6
42.78	12.529	8.7
42.824	13.16	9.1
42.821	12.48	7.4
45.491	7.311	10
40.8	14.13	2.6
43.459	12.477	6.7
43.459	12.482	7.5
43.454	12.485	7
40.096	15.856	10.3
46.167	10.704	2.8
43.363	12.601	6.8
41.791	15.576	10
39.904	16.105	9.8
43.359	12.603	9.1
43.314	12.528	10.6
43.642	7.751	7.9
43.354	12.608	7.3
42.768	13.389	9.9
42.765	13.394	18.3
43.57	12.362	8
43.141	12.704	10.9
45.949	7.411	10
43.398	12.508	5
42.926	12.954	10.8
42.504	13.289	17.7
38.565	14.838	10
38.882	14.737	342.3
43.132	11.149	6.5
38.8	16.337	9.8
38.121	16.189	42.7
42.666	13.024	10
42.696	11.966	3.4
43.212	12.315	8.7
40.104	15.839	8.5
44.313	10.202	11.1
42.822	13.025	8.6
43.48	12.45	6.7
